test_year,Intercept,Volume,Month,Day,Volatility_7,MA_7
2018,650.065725943281,66.71790308838709,-15.080550903787667,-3.2423100518394166,-0.20890266790323953,0.9838961147013023
2019,267.7313733236515,57.61276092132121,-12.91620605974352,-3.556739480216956,-0.12546730657510374,0.9967751979400852
2020,-99.9080015280415,51.0892945595237,-11.087522965056152,-2.723580070985521,0.17329546806130924,1.006785687384573
2021,-77.94956021461985,-43.0184911398704,-18.561913440606176,-1.469526493249336,0.12819485471276082,1.0073035771439294
2022,88.32109110130114,-13.911322670227348,-11.421334366140728,-3.0306595524887667,0.03229340391148966,1.0018134908794067
2023,87.91254365228815,-10.726468005110197,-9.158603505232529,-4.435219991462575,0.05479847966522455,1.0019362726269172
2024,52.3000243049828,-21.92413261600568,-8.232306224789152,-3.641600447594143,0.21533349973698523,1.0011883901051757
2025-2026,83.18873816616542,-14.15027476065381,-10.07358129090603,-5.582283351135197,0.008001469053993793,1.0032595288042412
