test_year,Intercept,Volume,Month,Day,Volatility_7,MA_7
2018,550.2213272176232,0.008432777816468284,-15.080550903787628,-3.242310051839405,-0.20890266790310852,0.9838961147013023
2019,184.42390560108106,0.007689978957817324,-12.916206059743509,-3.556739480216937,-0.12546730657503402,0.9967751979400887
2020,-173.76237989500441,0.006490577454419839,-11.087522965056134,-2.7235800709855043,0.17329546806122753,1.0067856873845749
2021,-28.25660129560856,-0.0036288523274915726,-18.56191344060626,-1.4695264932492693,0.12819485471277148,1.0073035771439258
2022,104.79887131782743,-0.0011945738593705125,-11.421334366141078,-3.0306595524887934,0.032293403911473895,1.0018134908794085
2023,100.49850678896473,-0.0009480131264981095,-9.158603505232097,-4.435219991462655,0.054798479665224,1.0019362726269208
2024,77.75459665394737,-0.002000393127671599,-8.232306224788822,-3.641600447594055,0.2153334997368893,1.0011883901051757
2025-2026,99.80139013627922,-0.0013176619306569022,-10.073581290905363,-5.582283351135359,0.008001469053906085,1.003259528804243
