test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,953,256,165.6786871642603,231.65814230205376,0.5920244903859736,0.9799738071402179,0.005921018503029359,0.00824147435287982,0.051098541669782116,131.02858415898413,173.4965411657003,0.4270067426292842,0.9288752654704358,0.004273650496626105,0.005651563370987485,0.051098541669782116,0.051098541669782116
2019,1209,257,158.3132333681901,220.62666995263342,0.5571710304360036,0.985359232395329,0.005572567208022038,0.0077678720948262826,-0.005939009651966476,192.97941770088332,259.2007976965682,0.5488922401206994,0.9912982420472954,0.005491610344541773,0.007299208055534542,-0.005939009651966476,-0.005939009651966476
2020,1466,258,164.26074217920515,227.44172660506882,0.5555524175708927,0.9947366238874105,0.005556198114035238,0.007677163128741326,0.012486893034908908,407.0437717351607,560.0102632713575,0.8631776068801352,0.9822497308525016,0.008607367276972921,0.011693306569576336,0.012486893034908908,0.012486893034908908
2021,1724,259,199.79105992445582,296.23974140419097,0.600643488197196,0.998255313508679,0.006005490070234967,0.008349324772536228,0.08173701635321406,261.34869838567136,373.15512078674357,0.552340323362501,0.916518297155465,0.005515356414180944,0.007832831491809177,0.08173701635321406,0.08173701635321406
2022,1983,257,207.58851076498055,306.67439857642063,0.5939913268228902,0.9986480545447401,0.005938557780714259,0.008280623623047387,0.0638473685365406,293.5569102236625,402.8922955946073,0.5742744873765809,0.9348006860081995,0.005741984236369789,0.00786084590826112,0.0638473685365406,0.0638473685365406
2023,2240,256,217.445351000294,318.8371893239812,0.5919606476123807,0.9988732828053708,0.00591806399412958,0.008229209259177889,0.037012792285321505,262.85611474054366,366.6775472833709,0.445277603392304,0.9618604905200493,0.004456462050274473,0.0062204773788207554,0.037012792285321505,0.037012792285321505
2024,2496,257,221.8065929342204,323.87269755796046,0.5763982636357456,0.9991884301315163,0.005762724047364156,0.008045760872909716,0.01349679511309343,414.931012550518,595.3997679647028,0.580481537065751,0.9856916350184228,0.005795972681145249,0.00826031472303296,0.01349679511309343,0.01349679511309343
2025-2026,2753,259,239.80560276239237,356.9724535554496,0.5772858544069881,0.9993853876650943,0.005770986411848082,0.008064234054535305,0.004795544330181589,836.3531514377844,1198.7889324905602,0.7975393477866317,0.9945898433349127,0.007983845971822123,0.010972181296684067,0.004795544330181589,0.004795544330181589
