test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,954,256,286.868893485278,369.24592528724975,1.024101375482952,0.949141811549941,0.010239992609021045,0.013175594673650653,0.15127578818539722,225.38549161990042,292.4826789512123,0.7327829776384879,0.7978660233645438,0.007356615792620154,0.009519270280144326,0.15127578818539722,0.15127578818539722
2019,1210,257,272.58814948514856,352.66461664503925,0.9590836921907455,0.9625780619011859,0.009588815180794925,0.012447054856332584,-0.008361497317975308,350.8689534026812,473.67878377428383,0.9987482728396773,0.9709395592191612,0.010026957865456376,0.01339545795557207,-0.008361497317975308,-0.008361497317975308
2020,1467,258,284.224914568901,372.83374194440415,0.9612744988392263,0.9858470018914401,0.009609254770433355,0.01255743623580155,0.0423642613893227,685.9407365369859,999.2727915419059,1.4633005219642936,0.9434827405021174,0.014549323717847302,0.02138518045982022,0.0423642613893227,0.0423642613893227
2021,1725,259,346.7307025522218,502.06638958297737,1.0498903259427095,0.994986083768752,0.010498194110213377,0.01416414842583692,0.26458156123162857,491.197935765039,670.5791677456526,1.0417483425055183,0.7304045225371234,0.010358837501372833,0.014139079813021463,0.26458156123162857,0.26458156123162857
2022,1984,257,362.7074628188599,523.4718293267821,1.0410548028653985,0.9960595029596149,0.010408655264518271,0.014064346492740076,0.15025224119973857,479.30568364172944,619.5828812483596,0.9367902704887434,0.8458072617598763,0.009378350357313247,0.012075293893094646,0.15025224119973857,0.15025224119973857
2023,2241,256,375.70596639671237,535.1311598328201,1.0288667289752818,0.9968252629057544,0.010286509401955708,0.013855289173654164,0.12245278993285402,517.2435522437376,665.4863799178274,0.8768971295888834,0.8743724729729003,0.008779032587948446,0.011333132455496725,0.12245278993285402,0.12245278993285402
2024,2497,257,389.70119481753954,549.1066884232787,1.0128501670650625,0.9976667262544354,0.01012426810024007,0.013623437317665106,0.04531322327719911,786.8518439550918,1086.4985337780452,1.106751063412841,0.9523535029772363,0.011048470809231067,0.015238602181658128,0.04531322327719911,0.04531322327719911
2025-2026,2754,259,427.5754926723537,617.5170621204736,1.0239619712410055,0.9981605606907162,0.01023742785340534,0.013779182612609228,0.0128797387574634,1507.627021293777,1977.3319495230676,1.4349045925335882,0.9852808219332528,0.014421566355504683,0.01829054461534935,0.0128797387574634,0.0128797387574634
