test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,954,256,166.14828791055206,227.43403977967066,0.5937076844040952,0.980705194952768,0.005937620914937461,0.00809815383750367,0.05644103121489863,135.86041666666665,179.03222310445182,0.44282831756582275,0.9242641637378693,0.004431844680421723,0.005832691193679526,0.05644103121489863,0.05644103121489863
2019,1210,257,154.7008815426997,214.6234019933418,0.5443711279423167,0.9861402100541405,0.0054447015477008765,0.007556923882727721,-0.0042742090217102735,201.13800259403368,272.0458174897418,0.5727943549635165,0.9904144190758508,0.0057309321128619405,0.007678540950618668,-0.0042742090217102735,-0.0042742090217102735
2020,1467,258,161.68725289706882,222.30255426004106,0.5469357880290566,0.9949683904259334,0.005470199937787483,0.007512227219762347,0.012027865059665577,411.0992248062012,549.0050524643211,0.8717338366844698,0.9829405253662679,0.008710704910038261,0.011533565506614926,0.012027865059665577,0.012027865059665577
2021,1725,259,195.4711111111111,286.55002416976134,0.5889067355844263,0.9983667386874967,0.005887928929020226,0.008119786710864031,0.08556613267996505,267.3057915057913,381.37347987767976,0.5652006523926445,0.9128006060075317,0.005643852840961266,0.00801683524558407,0.08556613267996505,0.08556613267996505
2022,1984,257,203.56098790322588,297.389465230391,0.5839639533782099,0.9987282096204816,0.005838567793388734,0.008055881882560817,0.06525386228260499,295.4357976653698,406.9696488437226,0.5786377908336976,0.9334743473378766,0.005785292436474472,0.007952189700924183,0.06525386228260499,0.06525386228260499
2023,2241,256,213.00785363676928,308.6813570968422,0.5825584596249254,0.9989436493879268,0.005823903217196334,0.00801926707681727,0.037413852015267146,268.87369791666663,368.2637769213271,0.45549994632552526,0.9615297973726596,0.004558633163976589,0.00624383002718812,0.037413852015267146,0.037413852015267146
2024,2497,257,217.03775196902953,312.0759875923995,0.5667248379600841,0.9992463443938705,0.005665976151338588,0.007810169118142493,0.014277121604746146,435.30920881971537,610.2452041457435,0.6097007801887685,0.9849692227891244,0.006089228621490349,0.008473908706794571,0.014277121604746146,0.014277121604746146
2025-2026,2754,259,236.50542241587993,348.2925481028667,0.5707228298961674,0.9994148382838111,0.0057054382880733735,0.007881146601491614,0.004894411604867588,835.5482625482628,1206.4551324856586,0.7949289542367665,0.9945204266789435,0.007957556134258073,0.011019514505737876,0.004894411604867588,0.004894411604867588
