test_year,Volume,Volatility_7,Return_Lag1,Momentum_7
2018,0.10200636902478451,0.15348164505117207,0.07130380004624237,0.6732081858778011
2019,0.08492023579972632,0.15905651723910424,0.07488425309402283,0.6811389938671466
2020,0.04692993158361626,0.18897191334598784,0.06512791545940669,0.6989702396109894
2021,0.09488135803838972,0.17651165417716466,0.02037686697065037,0.7082301208137952
2022,0.11425820808597202,0.19861549699946227,0.003059162713042291,0.6840671322015234
2023,0.10121751458868435,0.19671026642491393,0.009193886058632566,0.6928783329277691
2024,0.09200499175519115,0.19165669101262633,0.015192968362279027,0.7011453488699035
2025-2026,0.10279309562089443,0.17433337438448596,0.012444322104716321,0.7104292078899033
