split,MAE,RMSE,MAPE,R2,LogMAE,LogRMSE,R2_Gap
train,4140.125637441297,5284.632559541716,11.462726733263041,0.6983723330302869,0.11358519572118345,0.14125948224283782,0.21989882205371103
test,11990.404835297248,14880.302488051435,15.274503925976088,0.47847351097657587,0.17233358389555847,0.21246285532985315,0.21989882205371103
