split,MAE,RMSE,MAPE,R2,LogMAE,LogRMSE
train,890.6346524400948,1190.2710246121565,2.463740638121426,0.9846985247036238,0.024514475934970786,0.03201914492215616
test,2381.6136166892034,3269.9589362829984,2.8502235434441308,0.9748152612500395,0.028977360779132603,0.03627031957794676
