alpha,train_r2,validation_r2,gap
0.01,0.976683853327989,0.6414497917546511,0.3352340615733379
0.1,0.9766838496073896,0.6411857028332301,0.33549814677415957
1.0,0.976683478217034,0.6385266194050441,0.33815685881199
10.0,0.9766469979984722,0.61015334815317,0.3664936498453022
50.0,0.9758302482405958,0.4485993008228447,0.5272309474177511
100.0,0.9735645793053251,0.1799742283222837,0.7935903509830414
200.0,0.9661167321752012,-0.509068912318223,1.4751856444934242
500.0,0.9329002602384117,-3.0769643508011617,4.009864611039573
1000.0,0.8709686215880389,-7.361610505041961,8.23257912663
2000.0,0.7626188534709307,-14.091819945863968,14.854438799334899
5000.0,0.5513535427828729,-25.223388100059864,25.774741642842738
