test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,947,256,148.072637853809,204.76861728413039,0.5292917292510764,0.9844290153338391,0.00529335476103913,0.0072860684954125735,0.04613439457525115,125.86410458121497,161.60024125682847,0.41033195596973815,0.9382946207585879,0.004104316906928737,0.005264821056279007,0.04613439457525115,0.04613439457525115
2019,1203,257,143.17648261134892,196.74305923235218,0.5036439067662073,0.9884140673247893,0.005036997594506367,0.006924461942377685,-0.00424701090901336,176.1793197755405,238.03946383685965,0.5022239780052115,0.9926610782338027,0.0050226300355310114,0.006712489544694711,-0.00424701090901336,-0.00424701090901336
2020,1460,258,148.82198876578315,204.17356685116752,0.503329134439616,0.9957744059050481,0.005033684505217,0.006885524650305386,0.011383932256200824,380.3265202333716,525.1560555110749,0.8067480884555788,0.9843904736488472,0.008048252511589027,0.010985294655373668,0.011383932256200824,0.011383932256200824
2021,1718,259,181.60537175005007,266.8310033884027,0.5456653215682344,0.9985882351629083,0.005455980414481769,0.007525356472981533,0.06929479752298762,247.26363755534206,343.41844527644605,0.522579011916682,0.9292934376399207,0.005221843514409233,0.007230001432405821,0.06929479752298762,0.06929479752298762
2022,1977,257,189.33974215447148,276.380716335301,0.5403931567748935,0.998903843872602,0.0054031232730039755,0.007453582718304505,0.05655461526725458,272.1606237810678,378.8523720860102,0.5327007136024462,0.9423492286053474,0.00532451837709938,0.00738897579235944,0.05655461526725458,0.05655461526725458
2023,2234,256,198.45780024533659,289.76652609773544,0.5384912035144894,0.9990703575626505,0.005383688175434943,0.00744154130644033,0.030735783576481435,239.90090211845634,334.1099686993465,0.40623653158575235,0.9683345739861691,0.004064622150186693,0.005663412732951133,0.030735783576481435,0.030735783576481435
2024,2490,257,202.47682609397208,294.6391456321318,0.5243749835756059,0.9993287555108104,0.005242718198635235,0.0072790606701222905,0.011891828446639496,382.2349760367613,557.9067254294213,0.5352444747389625,0.9874369270641709,0.005342974452366422,0.007731125250256787,0.011891828446639496,0.011891828446639496
2025-2026,2747,259,218.68865820831294,325.55238644462787,0.5251547580056402,0.9994890605738165,0.00524975034390344,0.007311244377208031,0.0040535498938159,764.2594358796495,1101.1181003639915,0.7322916357495601,0.9954355106800006,0.007329458378698286,0.010196250084996732,0.0040535498938159,0.0040535498938159
