test_year,Intercept,Price_Lag1,Volume_Lag1,Chg%_Lag1,Chg%_Lag2,Chg%_Lag3,Volume_Momentum,MA_Ratio,BB_Status,Price_Range_Lag1,Volatility_7,Volatility_30
2018,2.56140543698749,-4.188315808861927e-05,-5.587315161126967e-06,-0.17330592453076446,-0.03306619168037506,-0.03776757715514465,0.05943673828767826,-1.544535934351928,0.4149235476262726,-0.00014356999721764824,-0.0004914474292278088,0.0002514656695594169
2019,2.549698505447598,-3.250526911238764e-05,-6.3920466693006795e-06,-0.16283526673167212,-0.031654304985106706,-0.04849036001378475,0.051527061797608555,-1.7383792021706965,0.3814611216723646,-0.00015628945960189855,-0.00041720126812254074,0.0001996781413012718
2020,2.290452167202187,5.095133231768721e-07,-4.189603113279846e-06,-0.13494833740375345,-0.013390670690697427,-0.037348149315327435,0.014871292867630009,-2.3972842246717896,0.32326178465240224,-0.00010492299559511602,-0.00030517028096014714,0.00018116832254233857
2021,2.949757382668687,3.6866035689563678e-06,-3.817783303701847e-06,-0.08900022512997312,0.015949019106928412,-0.005968282249040631,-0.042507564575519206,-3.08089086335978,0.22007387721861388,4.18583549831038e-05,-2.4720181874984637e-05,4.761313556747079e-05
2022,2.629714556903366,-2.216997318521249e-07,-3.7833195700686883e-06,-0.0759113629111565,0.01405046455188317,-0.0034600002575434353,-0.0400819075853669,-2.648159341850265,0.19721268849486318,4.539707914224793e-05,3.7742949136390466e-05,3.7242948432592845e-05
2023,2.7825501684291507,2.400060066549064e-07,-3.6092040100156854e-06,-0.08724372704025034,0.007612017081316418,-0.0014401286228340412,-0.054699551461837116,-2.7907197196455438,0.2033681659626812,-2.8283705235535124e-05,6.0835213547909095e-05,4.765107624563268e-05
2024,3.3921386455795965,-3.398595997117633e-07,-4.345682747930959e-06,-0.08869842311599206,0.00268045255883451,-0.005135852082240805,-0.04117089265575591,-3.4214949853541734,0.23434163701077337,-4.386849002519906e-05,0.00011437576772968233,6.988799218133124e-05
2025,0.07860090620409618,-2.8319566421405596e-07,-4.523014328763325e-06,-0.05384222862996741,0.03817154622435332,0.01101382623272581,-0.028854484070979503,0.002073450906210851,0.03597563160736351,-4.6276450211677545e-05,4.5667150771530394e-05,5.9535483621894e-05
2026,0.01640657545784608,2.1552958854864215e-06,-1.3843854657142948e-06,-0.039802646910554296,0.03321892955316058,0.014930750663221706,-0.0571145638577247,0.000822870054638989,0.014732894781579187,2.3904000349094966e-05,-4.0254819117544224e-05,1.4087018781681232e-05
