split,MAE,RMSE,MAPE,R2,LogMAE,LogRMSE
train,2905.0898698931205,4154.209151551761,7.7209756282291915,0.8516414687228817,0.07669084957160709,0.10603239157988756
test,28126.29926716928,34413.17406075448,30.68290027054676,-1.8436251730801154,0.3899290897645829,0.4485659730360695
