test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE
2018,1014,256,0.6145197031608214,0.8754397462246277,132.0593036070645,0.037036066467627804,0.006142312771540731,0.008736228457811777,0.4391096320932495,0.5733090485227162,142.21255379443022,-0.03451502306522425,0.004388452976983141,0.005722434365079881
2019,1270,257,0.577517833613545,0.8228266981404043,128.92124598060232,0.032227068240942014,0.005772318499470994,0.008211834035495108,0.5991150353720556,0.8049913913274079,187.24901272609824,-0.2312774754986493,0.005986970779943507,0.008032589334499221
2020,1527,258,0.5731705008804245,0.8112004583067742,121.36056905745266,0.019680694228554563,0.005728451036790329,0.008097307499838372,0.8839319705492645,1.1684064083914545,118.52343956188005,-0.06977583449295599,0.008845643581184334,0.011731739042617855
2021,1785,259,0.6122629016443764,0.8661390436041597,113.62917229109402,0.012261301921970835,0.0061207089325544545,0.008661426530921364,0.5560557064190101,0.7864484936963011,132.70093683722214,-0.03238547774325595,0.005565758078074235,0.00789252878539633
2022,2044,257,0.6042584977957038,0.8557381688326694,111.12508858514684,0.009657221287793338,0.006041584511257288,0.008560211077749492,0.5666894937921438,0.7791413359493563,113.6408746584767,0.02750334401181187,0.005666131799679981,0.007796294480413738
2023,2301,256,0.6004412155714169,0.8471851979031957,113.33868165263586,0.012265290952482522,0.006003430240039093,0.008474555672036478,0.4407877971028515,0.6129974182022566,124.22873561200566,0.015119067836519728,0.004403094575159992,0.006115213320731013
2024,2557,257,0.5838417540290682,0.8265931894402467,114.1509750590185,0.012842249038323317,0.005837054142415285,0.008267342598982373,0.5700328688160269,0.8175537304264731,122.40296837897893,0.00513109548232582,0.005706589557995646,0.008232196548523227
2025,2814,258,0.5833809813904399,0.8267411319702587,111.46783825036242,0.010072061024789414,0.00583314609077408,0.008274062330928126,0.8006715157317119,1.1096332296813378,119.92708860745292,-0.07235055321313943,0.007997915100648756,0.011109035892832452
2026,3072,2,0.5995853776991906,0.851613206561978,115.1234716939058,0.008849091833567635,0.005994523636938145,0.008524604523836469,0.20359553759502003,0.23396453711598295,816.3758279453632,-3.9650253630744814,0.0020322818930740283,0.0023354459496935246
