test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,947,256,162.91632652104013,223.15378676255952,0.5826592405913475,0.9815074073407469,0.005827797009958718,0.007966154119441831,0.05239241292471697,130.786872250205,173.20390563346422,0.4262758223021623,0.92911499441603,0.004266075646116307,0.005643265245269518,0.05239241292471697,0.05239241292471697
2019,1203,257,156.3772777379479,213.88904080224808,0.550541431867488,0.9863066652222688,0.005506552353915014,0.007546309365808576,-0.0042670931636946685,198.6410019625997,269.7752589342798,0.5639636399030773,0.9905737583859635,0.005641698856281015,0.0075715230690890445,-0.0042670931636946685,-0.0042670931636946685
2020,1460,258,163.49166607706113,223.9331636407024,0.5525281831039053,0.9949169360142786,0.005526322527330354,0.007551818675711978,0.017026416214730444,436.2482966996949,625.0039775232121,0.9243334310377854,0.9778905197995481,0.009200833643347124,0.012979076262087295,0.017026416214730444,0.017026416214730444
2021,1718,259,196.38398916242235,282.5865722725631,0.5931345524909077,0.9984165920354581,0.005931732664035365,0.008129183906662237,0.0791284959605767,259.6102342601124,366.912537744373,0.5486873300913688,0.9192880960748814,0.0054797142832147434,0.007711067855902047,0.0791284959605767,0.0791284959605767
2022,1977,257,204.637427157951,293.5177778572092,0.5873313235357733,0.9987636946139098,0.0058733391838662235,0.008061066866393551,0.06541595806815481,293.77898439674124,407.356734536111,0.5748703508407164,0.933347736545755,0.005746749171353783,0.007942216263927104,0.06541595806815481,0.06541595806815481
2023,2234,256,214.93015820723252,308.43558174151156,0.586147327495925,0.9989467087924313,0.005861280610409336,0.008047026389922505,0.0366918908318582,261.60508284586905,364.7770679663312,0.4432680850757432,0.9622548179605731,0.004435608581237198,0.006187011542929448,0.0366918908318582,0.0366918908318582
2024,2490,257,219.73906802431574,314.7316363679013,0.5714900633757517,0.9992340848858993,0.005714979857852207,0.00787623860722578,0.014075035446785455,415.76735489899227,606.3795066787812,0.5817983632920481,0.9851590494391138,0.005807390730353427,0.008410134611219864,0.014075035446785455,0.014075035446785455
2025-2026,2747,259,237.7088851423822,349.48166633810354,0.5724485485857714,0.9994111882812164,0.005723758425793032,0.007909972207179147,0.006016277428815386,921.4346227711629,1324.5768053902773,0.8636788097306582,0.9933949108524011,0.008669098455770543,0.011943982695148165,0.006016277428815386,0.006016277428815386
