test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,953,256,165.67827022975564,231.65751549036074,0.5920228866271238,0.9799739155122763,0.005921002683109331,0.008241449204503717,0.05109933696159674,131.03032890348845,173.4973789749012,0.42701252272217205,0.9288745785506796,0.004273708459201775,0.005651592024434002,0.05109933696159674,0.05109933696159674
2019,1209,257,158.3125491571824,220.62649239867247,0.5571687446276725,0.9853592559602519,0.00557254430613418,0.007767866450228964,-0.005939202042243519,192.97532516403996,259.19758132881185,0.5488814072854116,0.9912984580024954,0.005491501428907132,0.0072991273791014385,-0.005939202042243519,-0.005939202042243519
2020,1466,258,164.26092956738452,227.441743560436,0.555552893937111,0.9947366231026602,0.005556202880190882,0.007677163453615364,0.012486892250158643,407.0437717351607,560.0102632713575,0.8631776068801352,0.9822497308525016,0.008607367276972921,0.011693306569576336,0.012486892250158643,0.012486892250158643
2021,1724,259,199.79125008909773,296.2397481291416,0.6006439716215596,0.9982553134294667,0.006005494905766394,0.0083493249267958,0.08173291575522046,261.3381209446743,373.1459562134361,0.5523185859169666,0.9165223976742463,0.005515137585782851,0.007832645248587329,0.08173291575522046,0.08173291575522046
2022,1983,257,207.58812774495775,306.6739141111645,0.59399040959024,0.9986480588161765,0.0059385485298177184,0.008280614104940576,0.06384737280797692,293.5569102236625,402.8922955946073,0.5742744873765809,0.9348006860081995,0.005741984236369789,0.00786084590826112,0.06384737280797692,0.06384737280797692
2023,2240,256,217.44528445060593,318.83718651249933,0.591960412753233,0.9988732828252415,0.005918061644421153,0.008229209123415708,0.037012792305192166,262.85611474054366,366.6775472833709,0.445277603392304,0.9618604905200493,0.004456462050274473,0.0062204773788207554,0.037012792305192166,0.037012792305192166
2024,2496,257,221.80684922952867,323.8729047076179,0.5763988445897139,0.9991884290933524,0.005762729781674193,0.008045768684340131,0.013496794074929541,414.931012550518,595.3997679647028,0.580481537065751,0.9856916350184228,0.005795972681145249,0.00826031472303296,0.013496794074929541,0.013496794074929541
2025-2026,2753,259,239.80588382014326,356.9735940545077,0.5772861703658397,0.9993853837378114,0.005770989575001278,0.008064258181120918,0.004795540402898646,836.3531514377844,1198.7889324905602,0.7975393477866317,0.9945898433349127,0.007983845971822123,0.010972181296684067,0.004795540402898646,0.004795540402898646
