test_year,n_train,n_test,train_MAE,train_RMSE,train_MAPE,train_R2,train_LogMAE,train_LogRMSE,train_R2_Gap,test_MAE,test_RMSE,test_MAPE,test_R2,test_LogMAE,test_LogRMSE,test_R2_Gap,R2_gap
2018,954,256,286.86889348527836,369.2459252872498,1.024101375482953,0.949141811549941,0.010239992609021071,0.013175594673650655,0.15127578818539789,225.38549161989997,292.48267895121273,0.7327829776384865,0.7978660233645432,0.00735661579262014,0.009519270280144357,0.15127578818539789,0.15127578818539789
2019,1210,257,272.58814948514924,352.6646166450393,0.9590836921907477,0.9625780619011859,0.009588815180794939,0.012447054856332573,-0.008361497317973865,350.8689534026876,473.678783774295,0.998748272839694,0.9709395592191598,0.010026957865456569,0.013395457955572367,-0.008361497317973865,-0.008361497317973865
2020,1467,258,284.2249145689007,372.8337419444039,0.9612744988392258,0.9858470018914401,0.00960925477043337,0.012557436235801567,0.042364261389323365,685.9407365369882,999.2727915419116,1.4633005219642987,0.9434827405021168,0.014549323717847316,0.021385180459820307,0.042364261389323365,0.042364261389323365
2021,1725,259,346.7307025522223,502.0663895829774,1.0498903259427108,0.994986083768752,0.010498194110213428,0.014164148425836968,0.2645815612316388,491.1979357650494,670.5791677456655,1.0417483425055412,0.7304045225371132,0.010358837501372984,0.014139079813021642,0.2645815612316388,0.2645815612316388
2022,1984,257,362.7074628188594,523.4718293267822,1.0410548028653972,0.9960595029596149,0.010408655264518268,0.014064346492740083,0.15025224119973757,479.3056836417288,619.5828812483577,0.9367902704887425,0.8458072617598773,0.009378350357313226,0.012075293893094589,0.15025224119973757,0.15025224119973757
2023,2241,256,375.70596639671277,535.1311598328201,1.0288667289752829,0.9968252629057544,0.010286509401955714,0.01385528917365417,0.12245278993285424,517.2435522437369,665.4863799178283,0.8768971295888822,0.8743724729729001,0.008779032587948467,0.011333132455496737,0.12245278993285424,0.12245278993285424
2024,2497,257,389.70119481753886,549.1066884232788,1.0128501670650605,0.9976667262544354,0.010124268100240055,0.013623437317665113,0.04531322327719989,786.8518439550936,1086.4985337780547,1.106751063412844,0.9523535029772355,0.011048470809231114,0.015238602181658269,0.04531322327719989,0.04531322327719989
2025-2026,2754,259,427.57549267235333,617.5170621204735,1.0239619712410053,0.9981605606907162,0.010237427853405315,0.013779182612609195,0.01287973875746351,1507.627021293794,1977.3319495230817,1.4349045925336041,0.9852808219332527,0.01442156635550482,0.018290544615349458,0.01287973875746351,0.01287973875746351
