Model,MAE,RMSE,R2,Log_MAE,Log_RMSE
Gradient Boosting,10758.180408730703,13957.045582554849,0.630534869288302,0.23114043179441607,0.2793672359669503
Random Forest,11225.525565671875,14594.217077869946,0.59603097445545,0.23765221023138297,0.28849651452227487
Linear Regression,12338.444342385033,15600.515277042876,0.5384015419364738,0.2618701186266567,0.3027840655595289
Ridge Regression,12334.663783023805,15602.059705235408,0.5383101422682051,0.2617559416584918,0.30267878879844173
