K,R2,MAE,RMSE
3,-0.19544706018214364,3626.431338219878,4725.050650936292
5,-0.22194689915398458,3643.709007681841,4777.134412118243
7,-0.23501680374668354,3658.8312139209766,4802.614497536581
10,-0.25940142914324715,3727.513128310168,4849.7950407098615
15,-0.3028345042970606,3802.879044415148,4932.713823399306
20,-0.33551342866322664,3862.3983509489353,4994.194175301559
30,-0.38738324486987463,3945.75480588184,5090.254738214738
40,-0.432000262213448,4007.1952267887814,5171.456106930027
50,-0.4750250759016357,4073.67908518201,5248.570026573918
